FAMAS | Roll Cage (Well-Worn)/12.9
P250 | Asiimov (Battle-Scarred)/8.4
M4A4 | Tooth Fairy (Battle-Scarred)/17
AK-47 | Safety Net (Field-Tested)/24.6
M4A1-S | Leaded Glass (Field-Tested)/23.2
M4A4 | Evil Daimyo (Field-Tested)/8.5
USP-S | Cortex (Battle-Scarred)/8.8
M4A4 | Desolate Space (Battle-Scarred)/23.2
AK-47 | Slate (Well-Worn)/11.3
AWP | Atheris (Battle-Scarred)/9.5
AWP | Fever Dream (Field-Tested)/41.6
Glock-18 | Nuclear Garden (Battle-Scarred)/26.6
Glock-18 | Wasteland Rebel (Field-Tested)/24.1
AK-47 | Slate (Battle-Scarred)/11.5
USP-S | The Traitor (Battle-Scarred)/53
USP-S | Cortex (Well-Worn)/8.8
StatTrak™ USP-S | Flashback (Field-Tested)/7.3
M4A4 | In Living Color (Battle-Scarred)/21.1
Desert Eagle | Mecha Industries (Field-Tested)/21.5
AUG | Chameleon (Field-Tested)/18.3
AWP | Atheris (Well-Worn)/10.1
AK-47 | Rat Rod (Field-Tested)/17.8
AK-47 | Slate (Field-Tested)/13.5
M4A4 | Buzz Kill (Field-Tested)/41.2
AK-47 | Cartel (Field-Tested)/37.3
AK-47 | Ice Coaled (Field-Tested)/55
Anubis Collection Package/9.5
M4A4 | Buzz Kill (Battle-Scarred)/36.7
Glock-18 | Nuclear Garden (Field-Tested)/27.8
Glock-18 | Water Elemental (Field-Tested)/24.5
AWP | Mortis (Field-Tested)/9.4
AK-47 | Legion of Anubis (Field-Tested)/53
Rezan The Ready | Sabre/12.8
SSG 08 | Turbo Peek (Field-Tested)/23.1
AWP | POP AWP (Field-Tested)/14.2
M4A4 | 龍王 (Dragon King) (Field-Tested)/32.8
MAC-10 | Neon Rider (Field-Tested)/31
M4A4 | In Living Color (Field-Tested)/27.6
M4A1-S | Player Two (Battle-Scarred)/71
M4A1-S | Basilisk (Field-Tested)/19.6
M4A4 | Neo-Noir (Battle-Scarred)/18.3
StatTrak™ M4A4 | In Living Color (Battle-Scarred)/59
Desert Eagle | Mecha Industries (Minimal Wear)/30.6
P2000 | Fire Elemental (Field-Tested)/41.9
AK-47 | Blue Laminate (Field-Tested)/46.6
AWP | Duality (Battle-Scarred)/40.6
Desert Eagle | Crimson Web (Field-Tested)/34
USP-S | Printstream (Battle-Scarred)/242
AK-47 | Orbit Mk01 (Field-Tested)/57
AK-47 | Redline (Battle-Scarred)/64
P90 | Asiimov (Field-Tested)/42.6
StatTrak™ AWP | Mortis (Field-Tested)/23.5
Glock-18 | Wasteland Rebel (Minimal Wear)/25.8
M4A1-S | Nightmare (Battle-Scarred)/33.9
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)/19.6
AK-47 | Ice Coaled (Battle-Scarred)/38.1
AWP | Corticera (Field-Tested)/70
AWP | Hyper Beast (Battle-Scarred)/108
FAMAS | Commemoration (Field-Tested)/81
AWP | Hyper Beast (Field-Tested)/200
USP-S | Blueprint (Field-Tested)/30.5
Glock-18 | Gamma Doppler (Field-Tested)/152
AWP | Neo-Noir (Battle-Scarred)/116
USP-S | Neo-Noir (Battle-Scarred)/64
