StatTrak™ MP7 | Bloodsport (Battle-Scarred)/392.89
P90 | Shallow Grave (Well-Worn)/272.0
AWP | Black Nile (Battle-Scarred)/325.4
Five-SeveN | Kami (Field-Tested)/123.56
PP-Bizon | Embargo (Field-Tested)/169.89
Galil AR | Sandstorm (Field-Tested)/109.97
AUG | Chameleon (Field-Tested)/350.0
Desert Eagle | Corinthian (Factory New)/101.8
M4A4 | Neo-Noir (Field-Tested)/607.29
FAMAS | Djinn (Well-Worn)/204.62
M4A1-S | Nightmare (Minimal Wear)/2537.05
SG 553 | Integrale (Well-Worn)/1375.97
P2000 | Acid Etched (Minimal Wear)/117.02
UMP-45 | Wild Child (Battle-Scarred)/264.5
USP-S | Overgrowth (Field-Tested)/2600.0
SG 553 | Pulse (Field-Tested)/223.29
SSG 08 | Acid Fade (Factory New)/224.8
Tec-9 | Decimator (Battle-Scarred)/839.91
FAMAS | Rapid Eye Movement (Field-Tested)/189.78
Prof. Shahmat | Elite Crew/177.8
M4A1-S | Cyrex (Field-Tested)/1924.84
★ Driver Gloves | Racing Green (Field-Tested)/5077.19
Enforcer | Phoenix/248.95
M4A4 | Griffin (Battle-Scarred)/292.94
StatTrak™ AUG | Stymphalian (Battle-Scarred)/267.56
Slingshot | Phoenix/370.53
M4A1-S | Moss Quartz (Field-Tested)/2407.79
StatTrak™ USP-S | Cyrex (Well-Worn)/704.3
StatTrak™ Negev | Loudmouth (Battle-Scarred)/130.73
StatTrak™ Five-SeveN | Retrobution (Well-Worn)/140.25
StatTrak™ Tec-9 | Fuel Injector (Minimal Wear)/1488.38
StatTrak™ M4A1-S | Briefing (Field-Tested)/982.81
StatTrak™ Glock-18 | Water Elemental (Battle-Scarred)/1110.0
StatTrak™ AK-47 | Ice Coaled (Well-Worn)/2340.56
Dual Berettas | Dezastre (Battle-Scarred)/211.63
Glock-18 | Wasteland Rebel (Well-Worn)/620.0
M4A1-S | Chantico's Fire (Well-Worn)/2248.82
SG 553 | Darkwing (Factory New)/262.46
M4A1-S | Nitro (Well-Worn)/183.9
Dual Berettas | Twin Turbo (Battle-Scarred)/237.25
SG 553 | Cyrex (Well-Worn)/420.0
Galil AR | Chromatic Aberration (Factory New)/1302.08
FAMAS | Eye of Athena (Minimal Wear)/780.04
StatTrak™ MAG-7 | BI83 Spectrum (Battle-Scarred)/169.87
Glock-18 | Wasteland Rebel (Battle-Scarred)/499.99
G3SG1 | Flux (Battle-Scarred)/639.94
StatTrak™ MAG-7 | BI83 Spectrum (Field-Tested)/177.99
P250 | Asiimov (Minimal Wear)/2145.11
Glock-18 | Catacombs (Battle-Scarred)/142.85
Tec-9 | Safety Net (Field-Tested)/109.31
SSG 08 | Big Iron (Well-Worn)/760.98
StatTrak™ G3SG1 | Black Sand (Field-Tested)/100.9
StatTrak™ Desert Eagle | Mecha Industries (Factory New)/2853.21
StatTrak™ M4A1-S | Hyper Beast (Field-Tested)/8684.37
StatTrak™ MAG-7 | Justice (Battle-Scarred)/336.2
MP5-SD | Phosphor (Battle-Scarred)/325.01
StatTrak™ AUG | Syd Mead (Field-Tested)/417.77
P90 | Shallow Grave (Battle-Scarred)/193.33
USP-S | Kill Confirmed (Well-Worn)/4168.33
StatTrak™ UMP-45 | Scaffold (Battle-Scarred)/255.76
MP9 | Food Chain (Factory New)/1083.0
MP7 | Impire (Field-Tested)/258.89
CZ75-Auto | Tigris (Factory New)/234.0
StatTrak™ Glock-18 | Royal Legion (Well-Worn)/418.57
MP9 | Starlight Protector (Minimal Wear)/1199.51
M4A1-S | Player Two (Field-Tested)/2729.24
M4A4 | Faded Zebra (Well-Worn)/267.66
StatTrak™ P90 | Neoqueen (Field-Tested)/170.66
Tec-9 | Bamboozle (Factory New)/174.58
Glock-18 | Ramese's Reach (Well-Worn)/1265.75
Desert Eagle | Conspiracy (Factory New)/1091.4
AUG | Syd Mead (Field-Tested)/217.9
FAMAS | Commemoration (Field-Tested)/1533.89
M4A4 | X-Ray (Field-Tested)/1396.28
Five-SeveN | Angry Mob (Factory New)/1382.55
P250 | Supernova (Factory New)/175.18
AK-47 | Legion of Anubis (Minimal Wear)/1639.93
StatTrak™ Dual Berettas | Melondrama (Field-Tested)/351.38
AWP | Sun in Leo (Well-Worn)/2000.72
Desert Eagle | Trigger Discipline (Factory New)/277.93
