M4A4 | The Battlestar (Battle-Scarred)
AK-47 | Vulcan (Battle-Scarred)
Dual Berettas | Emerald (Factory New)
M4A1-S | Moss Quartz (Minimal Wear)
P90 | Neoqueen (Battle-Scarred)
StatTrak™ Five-SeveN | Violent Daimyo (Factory New)
AWP | Black Nile (Field-Tested)
StatTrak™ AK-47 | Frontside Misty (Battle-Scarred)
★ Hydra Gloves | Rattler (Well-Worn)
MAC-10 | Neon Rider (Factory New)
XM1014 | Teclu Burner (Minimal Wear)
Sawed-Off | Wasteland Princess (Field-Tested)
StatTrak™ Galil AR | Akoben (Well-Worn)
StatTrak™ Tec-9 | Avalanche (Battle-Scarred)
StatTrak™ Five-SeveN | Fowl Play (Well-Worn)
StatTrak™ XM1014 | XOXO (Well-Worn)
StatTrak™ XM1014 | Incinegator (Battle-Scarred)
★ Moto Gloves | 3rd Commando Company (Field-Tested)
Glock-18 | Umbral Rabbit (Minimal Wear)
R8 Revolver | Memento (Field-Tested)
StatTrak™ Five-SeveN | Flame Test (Factory New)
P90 | Shallow Grave (Minimal Wear)
StatTrak™ MP9 | Ruby Poison Dart (Well-Worn)
XM1014 | Incinegator (Well-Worn)
SSG 08 | Bloodshot (Battle-Scarred)
Rezan The Ready | Sabre
CZ75-Auto | Vendetta (Factory New)
G3SG1 | Black Sand (Minimal Wear)
StatTrak™ Five-SeveN | Buddy (Battle-Scarred)
P90 | Shallow Grave (Well-Worn)
StatTrak™ Dual Berettas | Melondrama (Battle-Scarred)
Sawed-Off | Wasteland Princess (Battle-Scarred)
M4A1-S | Cyrex (Field-Tested)
USP-S | Flashback (Minimal Wear)
StatTrak™ SSG 08 | Ghost Crusader (Battle-Scarred)
MP7 | Impire (Field-Tested)
StatTrak™ Five-SeveN | Angry Mob (Field-Tested)
StatTrak™ MAG-7 | Insomnia (Factory New)
Rezan the Redshirt | Sabre
AUG | Stymphalian (Well-Worn)
CZ75-Auto | Xiangliu (Battle-Scarred)
StatTrak™ Glock-18 | Umbral Rabbit (Battle-Scarred)
AUG | Death by Puppy (Field-Tested)
AWP | Black Nile (Well-Worn)
AUG | Stymphalian (Battle-Scarred)
MP7 | Special Delivery (Battle-Scarred)
StatTrak™ MP5-SD | Agent (Well-Worn)
UMP-45 | Primal Saber (Minimal Wear)
MAG-7 | Copper Coated (Well-Worn)
StatTrak™ M4A4 | Evil Daimyo (Field-Tested)
StatTrak™ USP-S | Flashback (Well-Worn)
SG 553 | Colony IV (Field-Tested)
P2000 | Obsidian (Well-Worn)
StatTrak™ Dual Berettas | Melondrama (Well-Worn)
StatTrak™ P90 | Shapewood (Well-Worn)
MAC-10 | Aloha (Minimal Wear)
StatTrak™ P250 | Wingshot (Battle-Scarred)
StatTrak™ FAMAS | Mecha Industries (Well-Worn)
R8 Revolver | Skull Crusher (Field-Tested)
SG 553 | Colony IV (Battle-Scarred)
P250 | Cartel (Battle-Scarred)
Glock-18 | Night (Battle-Scarred)
M4A1-S | Briefing (Battle-Scarred)
StatTrak™ Sawed-Off | Wasteland Princess (Battle-Scarred)
Galil AR | Sandstorm (Field-Tested)
AWP | Worm God (Well-Worn)
MP7 | Bloodsport (Well-Worn)
StatTrak™ M4A1-S | Leaded Glass (Battle-Scarred)
StatTrak™ SG 553 | Pulse (Battle-Scarred)
AK-47 | Steel Delta (Minimal Wear)
G3SG1 | Black Sand (Factory New)
P90 | Death by Kitty (Field-Tested)
FAMAS | Mecha Industries (Battle-Scarred)
StatTrak™ UMP-45 | Primal Saber (Battle-Scarred)
StatTrak™ P250 | Visions (Battle-Scarred)
StatTrak™ XM1014 | Black Tie (Battle-Scarred)
M4A4 | Temukau (Well-Worn)
P250 | See Ya Later (Well-Worn)
StatTrak™ P90 | Neoqueen (Factory New)
FAMAS | Hexane (Field-Tested)
StatTrak™ Glock-18 | Grinder (Minimal Wear)
AUG | Aristocrat (Minimal Wear)
FAMAS | Valence (Battle-Scarred)
AK-47 | Safari Mesh (Factory New)
CZ75-Auto | Yellow Jacket (Well-Worn)
Dual Berettas | Melondrama (Minimal Wear)
Galil AR | Cerberus (Battle-Scarred)
AK-47 | Legion of Anubis (Minimal Wear)
UMP-45 | Primal Saber (Field-Tested)
StatTrak™ M4A4 | Cyber Security (Field-Tested)
CZ75-Auto | Crimson Web (Battle-Scarred)
SSG 08 | Big Iron (Well-Worn)
StatTrak™ P2000 | Acid Etched (Well-Worn)
Sawed-Off | The Kraken (Minimal Wear)
StatTrak™ Glock-18 | Wasteland Rebel (Field-Tested)
AUG | Random Access (Well-Worn)
Five-SeveN | Fowl Play (Battle-Scarred)
StatTrak™ Galil AR | Signal (Field-Tested)
MAC-10 | Stalker (Minimal Wear)
StatTrak™ G3SG1 | Black Sand (Field-Tested)
★ Paracord Knife | Forest DDPAT (Field-Tested)
CZ75-Auto | Yellow Jacket (Battle-Scarred)
Glock-18 | Moonrise (Minimal Wear)
USP-S | Kill Confirmed (Well-Worn)
SSG 08 | Bloodshot (Well-Worn)
P90 | Shallow Grave (Battle-Scarred)
StatTrak™ MAC-10 | Disco Tech (Battle-Scarred)
SG 553 | Cyrex (Well-Worn)
M4A4 | Tooth Fairy (Well-Worn)
SG 553 | Integrale (Well-Worn)
Sawed-Off | Wasteland Princess (Well-Worn)
SG 553 | Pulse (Battle-Scarred)
StatTrak™ P250 | Supernova (Field-Tested)
FAMAS | Pulse (Field-Tested)
M4A1-S | Blood Tiger (Factory New)
★ Moto Gloves | Smoke Out (Battle-Scarred)
FAMAS | Teardown (Factory New)
StatTrak™ P90 | Neoqueen (Battle-Scarred)
FAMAS | Roll Cage (Minimal Wear)
P250 | Muertos (Battle-Scarred)
UMP-45 | Blaze (Factory New)
AUG | Fleet Flock (Well-Worn)
USP-S | Purple DDPAT (Field-Tested)
M4A1-S | Decimator (Well-Worn)
Tec-9 | Remote Control (Well-Worn)
StatTrak™ SG 553 | Tiger Moth (Battle-Scarred)
StatTrak™ AK-47 | Ice Coaled (Minimal Wear)
MAC-10 | Ultraviolet (Battle-Scarred)
StatTrak™ USP-S | Cortex (Field-Tested)
MP7 | Fade (Minimal Wear)
P90 | Vent Rush (Minimal Wear)
M4A1-S | Hyper Beast (Well-Worn)
MP9 | Mount Fuji (Battle-Scarred)
Dual Berettas | Royal Consorts (Factory New)
AWP | Containment Breach (Well-Worn)
Operator | FBI SWAT
P90 | Asiimov (Well-Worn)
Five-SeveN | Fairy Tale (Battle-Scarred)
USP-S | Guardian (Factory New)
R8 Revolver | Llama Cannon (Well-Worn)
StatTrak™ MAG-7 | BI83 Spectrum (Battle-Scarred)
CZ75-Auto | Syndicate (Field-Tested)
StatTrak™ P90 | Grim (Minimal Wear)
StatTrak™ CZ75-Auto | Tacticat (Battle-Scarred)
Desert Eagle | Heirloom (Field-Tested)
G3SG1 | The Executioner (Well-Worn)
P90 | Asiimov (Field-Tested)
StatTrak™ P90 | Asiimov (Field-Tested)
Glock-18 | Wasteland Rebel (Factory New)
USP-S | Monster Mashup (Field-Tested)
StatTrak™ R8 Revolver | Llama Cannon (Battle-Scarred)
Glock-18 | Royal Legion (Factory New)
StatTrak™ AK-47 | Rat Rod (Well-Worn)
★ Hydra Gloves | Emerald (Battle-Scarred)
StatTrak™ M4A1-S | Nightmare (Well-Worn)
FAMAS | Commemoration (Battle-Scarred)
M249 | Nebula Crusader (Battle-Scarred)
StatTrak™ MAC-10 | Disco Tech (Well-Worn)
StatTrak™ Galil AR | Chromatic Aberration (Battle-Scarred)
StatTrak™ Desert Eagle | Code Red (Battle-Scarred)
UMP-45 | Momentum (Field-Tested)
PP-Bizon | High Roller (Well-Worn)
M4A1-S | Moss Quartz (Field-Tested)
StatTrak™ AWP | PAW (Well-Worn)
★ Shadow Daggers | Scorched (Field-Tested)
StatTrak™ XM1014 | Red Python (Field-Tested)
★ Driver Gloves | Queen Jaguar (Battle-Scarred)
StatTrak™ Desert Eagle | Crimson Web (Battle-Scarred)
StatTrak™ Sawed-Off | Kiss♥Love (Battle-Scarred)
FAMAS | Sergeant (Field-Tested)
P90 | Trigon (Field-Tested)
Tec-9 | Decimator (Battle-Scarred)
★ Navaja Knife | Forest DDPAT (Field-Tested)
Anubis Collection Package
M4A4 | In Living Color (Field-Tested)
StatTrak™ SSG 08 | Fever Dream (Minimal Wear)
Aspirant | Gendarmerie Nationale
Sous-Lieutenant Medic | Gendarmerie Nationale
Enforcer | Phoenix
StatTrak™ Galil AR | Stone Cold (Battle-Scarred)
StatTrak™ MP7 | Bloodsport (Field-Tested)
StatTrak™ Glock-18 | Bullet Queen (Battle-Scarred)
StatTrak™ AUG | Syd Mead (Field-Tested)
StatTrak™ SSG 08 | Fever Dream (Battle-Scarred)
'Blueberries' Buckshot | NSWC SEAL
M4A1-S | Nightmare (Minimal Wear)
Desert Eagle | Night (Minimal Wear)
★ Falchion Knife | Black Laminate (Field-Tested)
Galil AR | Cerberus (Field-Tested)
StatTrak™ MP9 | Modest Threat (Factory New)
FAMAS | Roll Cage (Well-Worn)
Five-SeveN | Nightshade (Field-Tested)
★ Shadow Daggers | Rust Coat (Battle-Scarred)
AK-47 | Neon Rider (Well-Worn)
Sawed-Off | The Kraken (Field-Tested)
3rd Commando Company | KSK
Desert Eagle | Golden Koi (Factory New)
M4A4 | Neo-Noir (Field-Tested)
StatTrak™ AWP | Duality (Battle-Scarred)
Tec-9 | Avalanche (Minimal Wear)
Col. Mangos Dabisi | Guerrilla Warfare
★ Moto Gloves | 3rd Commando Company (Battle-Scarred)
CZ75-Auto | Hexane (Field-Tested)
Glock-18 | Gamma Doppler (Field-Tested)
★ Driver Gloves | Racing Green (Field-Tested)
P2000 | Panther Camo (Minimal Wear)
Glock-18 | Vogue (Battle-Scarred)
AK-47 | Phantom Disruptor (Well-Worn)
AWP | Neo-Noir (Minimal Wear)
Galil AR | Crimson Tsunami (Well-Worn)
MAC-10 | Stalker (Field-Tested)
★ Broken Fang Gloves | Jade (Battle-Scarred)
StatTrak™ M4A1-S | Night Terror (Minimal Wear)
Galil AR | Eco (Battle-Scarred)
MAG-7 | Praetorian (Field-Tested)
★ Hydra Gloves | Case Hardened (Battle-Scarred)
★ Hand Wraps | Desert Shamagh (Well-Worn)
AUG | Bengal Tiger (Field-Tested)
M4A4 | Tooth Fairy (Battle-Scarred)
StatTrak™ MP9 | Food Chain (Battle-Scarred)
StatTrak™ SG 553 | Pulse (Field-Tested)
AK-47 | Legion of Anubis (Well-Worn)
★ Hand Wraps | Desert Shamagh (Battle-Scarred)
Five-SeveN | Fowl Play (Well-Worn)
CZ75-Auto | Syndicate (Battle-Scarred)
M4A4 | The Coalition (Battle-Scarred)
★ Driver Gloves | Racing Green (Well-Worn)
M4A1-S | Emphorosaur-S (Minimal Wear)
StatTrak™ P2000 | Turf (Minimal Wear)
StatTrak™ PP-Bizon | Osiris (Well-Worn)
★ Broken Fang Gloves | Needle Point (Battle-Scarred)
MP9 | Food Chain (Factory New)
1st Lieutenant Farlow | SWAT
P250 | Vino Primo (Field-Tested)
StatTrak™ Glock-18 | Bullet Queen (Field-Tested)
AWP | Atheris (Battle-Scarred)
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn)
★ Broken Fang Gloves | Unhinged (Battle-Scarred)
AK-47 | Fuel Injector (Battle-Scarred)
StatTrak™ R8 Revolver | Skull Crusher (Battle-Scarred)
MP9 | Hydra (Minimal Wear)
MAC-10 | Toybox (Battle-Scarred)
FAMAS | Rapid Eye Movement (Field-Tested)
StatTrak™ USP-S | Ticket to Hell (Minimal Wear)
P90 | Asiimov (Factory New)
SSG 08 | Big Iron (Battle-Scarred)
Sawed-Off | Devourer (Battle-Scarred)
M249 | Emerald Poison Dart (Well-Worn)
StatTrak™ AUG | Syd Mead (Battle-Scarred)
SG 553 | Pulse (Field-Tested)
★ Hand Wraps | Duct Tape (Field-Tested)
StatTrak™ MAC-10 | Rangeen (Factory New)
USP-S | Kill Confirmed (Minimal Wear)
★ Moto Gloves | Finish Line (Battle-Scarred)
Glock-18 | Royal Legion (Minimal Wear)
Glock-18 | Snack Attack (Well-Worn)
USP-S | Ticket to Hell (Factory New)
StatTrak™ FAMAS | Djinn (Battle-Scarred)
★ Survival Knife | Safari Mesh (Field-Tested)
USP-S | Para Green (Field-Tested)
MP7 | Neon Ply (Field-Tested)
Galil AR | Chromatic Aberration (Field-Tested)
SSG 08 | Red Stone (Field-Tested)
Nova | Sobek's Bite (Battle-Scarred)
★ Driver Gloves | Racing Green (Battle-Scarred)
M4A1-S | Cyrex (Well-Worn)
StatTrak™ CZ75-Auto | Yellow Jacket (Battle-Scarred)
M4A4 | Buzz Kill (Well-Worn)
MAC-10 | Malachite (Well-Worn)
AWP | Wildfire (Field-Tested)
M4A1-S | Atomic Alloy (Battle-Scarred)
MAC-10 | Ultraviolet (Minimal Wear)
M4A1-S | Bright Water (Field-Tested)
PP-Bizon | Judgement of Anubis (Battle-Scarred)
AWP | Worm God (Minimal Wear)
StatTrak™ M4A4 | Tooth Fairy (Battle-Scarred)
StatTrak™ R8 Revolver | Crazy 8 (Battle-Scarred)
AWP | Hyper Beast (Well-Worn)
'The Doctor' Romanov | Sabre
StatTrak™ CZ75-Auto | Tigris (Well-Worn)
StatTrak™ MAG-7 | SWAG-7 (Minimal Wear)
MP9 | Starlight Protector (Field-Tested)
Markus Delrow | FBI HRT
StatTrak™ Dual Berettas | Flora Carnivora (Battle-Scarred)
StatTrak™ MP7 | Abyssal Apparition (Minimal Wear)
MP9 | Food Chain (Field-Tested)
MAG-7 | Core Breach (Battle-Scarred)
